aristelliger_praesignis.ZW	ARIPRA	Mafpath1
christinus_marmoratus.ZW	CHRMAR	Mafpath2
coleonyx_brevis.XY	COLBRE	Mafpath3
correlophus_ciliatus.ZW	CORCIL	Mafpath4
eublepharis_macularius.TSD	EUBMAC	Mafpath5
gallus_gallus.ZW	GALGAL	Mafpath6
gehyra_mutilata.ZW	GEHMUT	Mafpath7
gekko_japonicus.XY	GEKJAP	Mafpath8
hemidactylus_frenatus.ZW	HEMFRE	Mafpath9
hemidactylus_mabouia.XY	HEMMAB	Mafpath10
heteronotia_binoei.ZW	HETBIN	Mafpath11
Lacerta_agilis.ZW	LACAGI	Mafpath12
nephrurus_levis.ZW	NEPLEV	Mafpath13
paroedura_stumpffi.ZW	PARSTU	Mafpath14
phelsuma_laticauda.TSD	PHELAT	Mafpath15
phyllodactylus_wirshingi.ZW	PHYWIR	Mafpath16
pygopus_nigriceps.XY	PYGNIG	Mafpath17
sphaerodactylus_minigoi.XY	SPHMIN	Mafpath18
tarentola_mauritanica.TSD	TARMAU	Mafpath19
Thamnophis_elegans.ZW	THAELE	Mafpath20
thecadactylus_rapicauda.ZW	THERAP	Mafpath21
Sphaerodactylus_townsendi	SPHTOW	Mafpath22
Paroedura_picta	PARPIC	Mafpath23
Lepidodactylus_listeri	LEPLIS	Mafpath24
