correlophus_sarasinorum.ZW	CORSAR
correlophus_ciliatus.ZW	CORCIL
pygopus_nigriceps.XY	PYGNIG
nephrurus_levis.ZW	NEPLEV
eublepharis_macularius.TSD	EUBMAC
coleonyx_brevis.XY	COLBRE
aristelliger_praesignis.ZW	ARIPRA
sphaerodactylus_minigoi.XY	SPHMIN
Sphaerodactylus_townsendi	SPHTOW
tarentola_mauritanica.TSD	TARMAU
thecadactylus_rapicauda.ZW	THERAP
phyllodactylus_wirshingi.ZW	PHYWIR
christinus_marmoratus.ZW	CHRMAR
phelsuma_laticauda.TSD	PHELAT
paroedura_stumpffi.ZW	PARSTU
Paroedura_picta	PARPIC
gehyra_mutilata.ZW	GEHMUT
hemidactylus_mabouia.XY	HEMMAB
hemidactylus_frenatus.ZW	HEMFRE
heteronotia_binoei.ZW	HETBIN
gekko_japonicus.XY	GEKJAP
Lepidodactylus_listeri	LEPLIS
