correlophus_sarasinorum	CORSAR
correlophus_ciliatus	CORCIL
pygopus_nigriceps	PYGNIG
nephrurus_levis	NEPLEV
eublepharis_macularius	EUBMAC
coleonyx_brevis	COLBRE
Sphaerodactylus_townsendi	SPHTOW
sphaerodactylus_minigoi	SPHMIN
aristelliger_praesignis	ARIPRA
thecadactylus_rapicauda	THERAP
phyllodactylus_wirshingi	PHYWIR
tarentola_mauritanica	TARMAU
phelsuma_laticauda	PHELAT
Paroedura_picta	PARPIC
paroedura_stumpffi	PARSTU
christinus_marmoratus	CHRMAR
gehyra_mutilata	GEHMUT
hemidactylus_mabouia	HEMMAB
hemidactylus_frenatus	HEMFRE
heteronotia_binoei	HETBIN
gekko_japonicus	GEKJAP
Lepidodactylus_listeri	LEPLIS
Lacerta_agilis	LACAGI
Thamnophis_elegans	THAELE
